1
42 468
1 4 813
1 21 566
0 36 142
0 30 257
0 38 839
0 11 16
1 2 842
1 37 638
0 34 651
0 4 894
1 38 453
0 38 234
0 7 635
1 18 149
0 11 214
1 4 201
0 24 859
0 5 362
0 17 677
1 29 903
1 13 949
0 3 675
0 26 924
1 7 879
1 24 620
1 15 946
1 2 393
1 29 699
1 38 939
1 26 462
0 34 962
1 25 516
1 31 870
0 0 972
0 39 216
1 3 331
1 14 289
0 22 86
0 40 775
0 37 952
1 13 680
0 26 74
0 37 133
0 3 114
0 5 791
1 27 29
0 40 201
1 37 975
1 35 868
1 15 169
1 16 630
0 36 310
1 24 81
0 27 668
0 9 865
1 5 827
0 40 727
0 23 682
0 38 687
1 28 722
0 35 416
0 11 125
1 27 763
1 21 807
0 36 603
1 31 482
0 10 631
0 13 85
0 26 294
0 4 55
1 8 249
1 20 132
0 17 959
0 10 996
0 27 480
0 5 919
0 19 499
0 28 463
1 20 23
0 38 38
1 21 459
0 21 99
0 18 601
0 9 353
0 22 541
1 39 763
1 34 398
0 31 829
1 20 231
1 41 659
1 34 941
0 27 163
1 11 793
1 2 399
0 20 947
0 39 639
1 39 516
1 13 616
0 4 571
1 14 558
0 7 525
1 39 331
1 0 334
1 32 738
0 25 279
1 34 715
0 7 950
1 27 338
0 41 624
0 16 609
0 3 86
0 19 653
0 6 827
0 12 250
0 26 820
1 19 942
1 19 566
1 25 217
0 19 610
0 10 894
0 27 301
1 39 590
1 8 969
0 33 269
0 34 423
0 1 911
0 24 392
1 10 875
0 34 256
0 12 973
1 40 548
1 3 606
1 0 951
1 40 482
0 38 440
0 32 763
1 6 416
0 3 760
0 38 487
1 34 946
0 18 701
1 10 788
0 22 975
1 23 284
0 15 377
1 26 724
0 10 777
0 31 183
0 2 926
0 18 678
1 9 535
1 30 69
1 24 784
0 41 427
1 29 613
1 23 409
1 16 186
0 3 444
1 31 851
0 11 651
1 20 455
1 9 466
1 31 794
0 20 973
0 37 443
1 17 771
0 0 382
0 3 238
1 7 596
1 17 43
0 0 59
0 37 671
0 23 259
1 32 784
0 12 611
0 30 435
1 12 504
1 1 939
1 17 751
0 34 459
1 23 757
1 34 490
1 23 76
0 0 834
0 16 49
0 8 434
0 4 736
0 7 838
0 20 329
